ID,Gender,State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response
25890,F,NY,11365,113,49,1,141,335,476,12,2,0,4,1,1,0,4,Yes
36329,F,MD,20769,207,39,1,146,329,475,12,1,1,2,0,2,1,5,Yes
34401,F,NY,11787,117,65,1,131,337,468,12,2,2,4,1,0,1,2,No
31197,F,MA,1701,17,61,1,142,322,464,12,2,1,0,3,1,2,3,Yes
48545,M,DC,20019,200,35,1,143,318,461,12,1,0,3,2,0,2,4,Yes
51722,F,PA,19446,194,57,1,136,324,460,12,3,1,5,0,0,1,2,No
34504,F,NJ,8107,81,45,1,127,329,456,12,3,1,4,1,1,2,0,No
21696,M,NY,11727,117,55,1,138,317,455,12,1,2,2,2,2,2,1,No
58716,F,ME,4210,42,31,1,127,325,452,12,6,2,1,0,2,1,0,No
37257,F,MD,21045,210,31,1,137,313,450,12,4,1,3,0,1,2,1,No
32981,F,NY,11780,117,39,1,137,312,449,12,4,0,5,0,1,2,0,No
36011,M,NY,14027,140,67,1,131,318,449,12,2,2,2,3,0,2,1,No
18398,M,PA,18974,189,25,1,126,322,448,12,6,2,2,0,1,0,1,No
23078,M,PA,17403,174,51,1,129,316,445,12,3,0,6,2,0,1,0,No
22309,M,DE,19809,198,59,1,134,310,444,12,3,1,4,1,1,2,0,No
56875,M,PA,19128,191,33,1,132,310,442,12,3,1,3,1,2,1,1,No
14899,M,PA,17601,176,31,1,143,287,430,12,2,0,1,3,1,0,5,No
42968,M,NJ,7071,70,43,1,127,303,430,12,5,2,3,1,0,0,1,No
49642,F,NJ,8901,89,47,1,140,289,429,12,1,2,3,1,0,2,3,Yes
55962,M,MA,1566,15,35,1,144,282,426,12,1,0,2,2,2,1,4,Yes
50569,F,NY,10314,103,25,1,139,281,420,12,3,1,1,1,2,2,2,No
41858,M,NJ,8069,80,71,1,139,280,419,12,1,1,2,3,2,1,2,No
24490,F,MA,1778,17,47,1,136,273,409,12,4,1,1,1,1,3,1,No
28186,M,NY,10704,107,43,1,137,272,409,12,2,0,2,2,2,3,1,Yes
50666,F,PA,19114,191,29,1,146,260,406,12,0,1,5,1,2,0,3,No
53572,M,PA,15068,150,29,1,140,264,404,12,4,0,2,2,1,2,1,No
28472,M,MD,21234,212,71,1,134,269,403,12,5,0,3,2,0,0,2,No
17776,F,NJ,8759,87,61,1,142,258,400,12,2,1,3,0,1,1,4,No
42566,F,NJ,8723,87,43,1,142,254,396,12,0,0,7,1,2,1,1,No
46057,F,NJ,7470,74,65,1,142,252,394,12,1,1,4,0,2,1,3,Yes
38657,M,NJ,7646,76,43,1,139,252,391,12,4,1,1,2,2,0,2,No
23687,M,PA,19001,190,41,1,141,249,390,12,5,0,3,1,0,1,2,No
56108,F,PA,17110,171,55,1,136,252,388,12,2,3,3,0,2,0,2,No
52255,M,NY,12561,125,53,1,143,243,386,12,1,0,5,3,0,0,3,No
24866,F,NJ,7036,70,61,1,151,230,381,12,1,0,1,3,1,2,4,Yes
51222,F,PA,19380,193,71,1,135,245,380,12,2,2,4,0,0,1,3,No
45547,F,MA,2144,21,43,1,137,238,375,12,5,0,2,1,2,0,2,No
24749,M,MD,20817,208,25,1,136,238,374,12,3,1,0,5,1,0,2,No
22122,F,NJ,8901,89,43,1,134,239,373,12,2,1,4,1,0,3,1,No
38571,F,PA,19132,191,27,1,135,232,367,12,2,1,3,1,2,2,1,No
11123,M,NJ,7043,70,27,1,142,221,363,12,1,1,3,3,1,1,2,No
24537,M,NY,10027,100,49,1,134,221,355,12,2,1,5,2,0,1,1,Yes
42165,M,NJ,7860,78,67,1,134,221,355,12,2,2,2,2,2,1,1,No
14489,M,NJ,8033,80,59,1,133,220,353,12,3,3,2,2,0,1,1,No
21175,M,NY,10530,105,43,1,142,211,353,12,2,0,4,2,0,2,2,No
42706,F,PA,19422,194,29,1,139,213,352,12,3,1,4,0,0,2,2,No
22734,M,NJ,8080,80,67,1,136,215,351,12,4,0,4,0,1,2,1,No
39012,M,NY,11780,117,59,1,139,212,351,12,5,0,1,4,0,1,1,No
20933,M,NY,10128,101,59,1,136,214,350,12,3,1,1,3,1,1,2,No
31411,F,MA,1960,19,71,1,140,208,348,12,4,0,3,0,2,2,1,No
51974,M,PA,19317,193,69,1,134,211,345,12,2,1,2,3,1,2,1,No
40499,M,NY,10566,105,25,1,133,209,342,12,2,2,3,1,1,1,2,No
12700,M,NJ,8260,82,39,1,147,194,341,12,1,0,2,1,3,3,2,Yes
10958,M,NJ,8724,87,27,1,139,197,336,12,1,3,2,3,0,1,2,No
57990,F,MA,2062,20,69,1,141,195,336,12,4,0,3,1,0,2,2,No
46154,M,NJ,8002,80,29,1,140,192,332,12,2,1,4,3,0,0,2,No
46125,M,NY,14411,144,65,1,128,202,330,12,3,3,2,2,0,0,2,No
24222,M,PA,16436,164,29,1,129,200,329,12,2,3,2,2,2,0,1,No
47152,M,NJ,8054,80,37,1,129,198,327,12,3,2,3,2,0,0,2,No
10259,M,NY,11001,110,69,1,136,190,326,12,2,1,2,2,0,2,3,No
17206,M,NY,14216,142,69,1,141,184,325,12,1,1,3,3,1,2,1,No
28871,M,NY,10605,106,63,1,137,184,321,12,1,2,3,3,1,1,1,No
51928,F,ME,4631,46,71,1,135,177,312,12,6,0,4,0,0,0,2,No
32029,M,PA,18702,187,59,1,133,172,305,12,2,2,2,1,1,1,3,No
39566,M,MD,20783,207,35,1,137,167,304,12,1,0,7,2,0,1,1,No
50415,F,MA,2140,21,45,1,136,167,303,12,1,5,2,1,0,2,1,Yes
57406,M,MA,1583,15,45,1,134,164,298,12,3,1,4,3,0,0,1,No
30499,F,NJ,7003,70,53,1,133,160,293,12,3,1,3,1,2,0,2,No
14805,M,MD,20783,207,39,1,132,152,284,12,4,2,1,0,2,1,2,No
59558,F,DE,19720,197,49,1,138,146,284,12,3,0,5,1,0,1,2,No
48892,F,NY,10801,108,31,1,140,139,279,12,5,1,4,0,0,1,1,Yes
29261,M,NJ,7206,72,53,1,132,146,278,12,2,3,1,2,2,1,1,No
27522,M,NY,10301,103,63,1,127,142,269,12,4,2,2,2,0,0,2,No
